taxonomy_id,S1,S2,S3,S4,S5,S6,S7
2571030,226,351,150,408,336,172,281
2592049,99,188,83,294,205,468,163
388950,273,106,127,339,363,233,117
2694929,199,458,108,359,248,171,56
323450,187,396,62,154,169,256,72
2694930,145,126,45,125,193,404,44
400092,40,238,38,191,166,218,319
512763,310,57,33,381,405,402,73
1379909,266,394,105,255,318,77,184
1379910,26,395,21,146,34,39,128
2086471,207,14,29,229,207,222,93
2745197,79,226,77,72,134,233,105
2698458,184,564,54,259,121,519,36
2861765,551,82,47,575,138,1094,171
2906443,286,72,27,411,16,85,346
2909339,149,87,43,230,92,157,120
2906456,76,84,32,215,97,137,116
94254,317,68,51,477,161,576,131
2747268,24,28,66,239,345,252,292
316068,407,1314,301,303,46,333,183
2268026,183,137,39,106,68,82,134
2259595,100,108,66,70,475,24,57
106,96,285,142,274,140,348,116
2916755,328,183,56,148,52,290,171
651143,228,291,130,321,181,465,80
1834519,88,135,175,170,144,226,105
332158,103,106,65,264,113,75,71
2907205,60,65,26,228,93,183,222
1784714,67,255,26,97,108,136,90
2975157,11,54,13,146,139,318,289
2520506,178,139,334,360,250,870,41
2745947,161,296,223,119,164,40,169
2710596,124,154,33,121,49,400,76
2898794,106,87,35,164,208,131,96
2728024,89,534,233,199,138,132,69
1211326,241,49,35,199,121,201,122
2692134,273,95,73,376,398,397,120
564064,159,296,48,209,201,325,105
2735870,152,46,48,397,152,105,71
1379870,107,205,50,226,95,223,287
2666025,145,281,20,208,114,455,44
1178516,90,359,27,273,219,338,130
2057025,77,126,46,315,274,1012,84
2674997,334,640,165,460,434,309,236
2516557,138,195,34,189,41,503,159
2696560,118,19,,65,71,136,76
2516559,28,51,,31,252,489,88
2704465,195,61,41,378,122,429,320
985,71,88,219,173,54,157,98
390884,248,154,66,355,1042,735,369
2781961,181,142,32,289,117,671,164
2859768,150,272,44,325,135,1096,283
1807691,129,190,47,158,78,53,27
2591634,101,91,110,252,356,1319,294
1795355,65,152,228,230,698,493,280
2772483,190,211,127,289,403,563,551
2991499,107,114,24,313,109,379,53
388413,54,157,25,99,59,93,114
1727163,29,61,30,150,142,825,24
2782006,276,18,20,291,94,709,114
104,198,194,59,133,82,244,67
320787,62,62,32,106,59,53,16
280473,140,64,23,60,154,68,104
232259,25,78,397,138,479,84,71
367791,290,166,74,429,397,372,147
373891,226,131,135,142,49,295,282
2494373,117,554,42,205,57,259,167
1191459,106,91,35,426,268,1419,99
2904246,126,155,176,78,55,15,126
2904247,98,111,136,253,118,668,167
2904245,59,82,38,145,78,153,107
2810512,71,34,13,72,29,142,40
2321403,288,638,164,380,306,287,150
2979869,416,106,88,194,214,507,175
2979464,45,41,13,125,48,203,107
1085624,365,341,76,250,293,460,254
1006,224,87,28,210,31,75,75
999,131,31,74,145,92,211,154
2715131,51,69,19,146,483,75,75
650378,12,,45,,,108,172
2961941,310,410,121,256,263,93,349
2853439,282,63,66,332,175,489,110
2713573,241,60,22,163,120,307,377
1538644,220,100,15,136,78,377,132
2795738,149,81,78,184,85,452,168
2557994,113,36,62,148,79,40,158
2662364,106,236,18,121,32,307,17
2907623,84,111,89,125,204,315,229
2931400,44,,,50,,55,146
259,461,48,62,494,180,397,173
258,280,159,107,689,436,2202,623
28454,390,598,156,427,879,753,579
561061,230,,26,225,40,606,129
797291,182,73,37,258,139,642,257
371142,169,39,50,130,65,278,101
34087,262,196,,407,101,1055,221
1010,121,243,38,246,83,93,192
459529,291,105,,360,,1295,
649196,73,38,36,113,53,193,125
2886510,14,48,18,,39,,45
2714940,220,22,,300,75,594,157
2482728,180,195,17,220,80,608,146
1727164,150,37,33,237,108,374,176
2578106,67,50,97,184,53,626,107
2856523,64,142,34,333,18,27,128
2766984,51,100,94,95,210,191,476
984,407,265,31,414,92,741,162
2201271,155,224,14,319,102,824,296
430522,148,62,56,288,91,483,297
2895286,146,40,21,140,65,125,97
336820,165,39,34,261,636,569,227
332999,132,32,30,257,357,247,128
2789740,91,39,49,154,87,71,177
2605747,87,129,13,149,72,29,20
188932,85,141,28,297,150,329,132
363852,83,47,24,199,83,403,117
2778902,260,45,22,189,16,135,187
2929803,123,70,31,354,138,601,57
2703789,15,199,205,208,106,410,66
2305508,237,241,24,188,120,264,218
423351,164,262,59,289,114,633,93
2740462,144,404,273,190,198,138,173
652787,138,112,26,420,119,934,129
862126,132,275,21,268,196,839,212
2728022,129,156,35,173,152,408,171
398049,121,173,24,135,152,569,108
2027860,334,411,140,460,633,1638,480
398053,90,420,146,275,73,293,
551996,112,107,429,164,133,74,131
1234841,69,137,107,118,131,172,181
1550579,68,280,15,290,134,794,144
2682091,37,209,15,233,80,61,55
2911172,251,45,18,364,150,299,257
995,105,39,98,383,443,632,43
151895,350,90,277,451,271,1932,208
496056,171,1050,41,727,856,3078,169
2764720,80,40,17,311,35,274,229
2592345,63,42,195,234,109,636,310
2952571,208,395,54,410,120,272,219
2920382,219,491,65,428,429,379,92
2604421,89,233,53,202,143,177,212
2725414,422,391,100,465,240,127,68
2703787,373,106,43,456,211,640,130
104663,306,180,132,530,164,1247,404
2029983,176,266,24,258,58,479,388
79329,183,73,51,312,317,476,204
2203219,10,43,11,64,92,243,28
2545455,165,95,32,237,93,677,25
1850526,143,116,24,214,145,149,202
2875539,225,95,47,222,96,345,198
2341117,213,43,79,315,109,595,165
496057,187,72,154,171,158,600,106
446683,670,133,99,380,128,422,293
1176587,46,42,24,86,37,71,34
2315862,608,176,96,492,196,520,55
2838156,218,79,26,290,93,39,104
2838157,202,139,15,90,56,236,69
477680,292,684,48,368,203,951,321
1492898,203,75,60,70,420,130,82
661481,70,76,24,264,94,276,116
2760713,236,244,38,342,132,289,92
354356,209,68,35,608,526,1200,192
2875540,131,37,20,189,40,254,191
563172,49,21,35,89,62,235,94
2676868,156,173,30,126,91,87,161
1813871,140,61,41,316,127,378,144
661488,105,93,264,288,160,750,116
575378,81,17,38,171,51,342,157
2502779,50,56,140,134,101,744,393
29549,239,224,101,715,475,311,246
146919,130,208,79,418,244,240,120
2558931,111,382,49,282,292,168,162
1008,110,84,21,119,111,129,68
2864201,97,51,25,154,67,275,150
2350,40,473,17,128,58,52,154
2875962,232,236,85,256,129,278,405
1097,218,176,72,97,167,,75
274539,51,31,31,300,28,36,60
2976335,52,39,26,142,138,21,48
274537,17,320,19,330,156,118,17
281093,46,35,12,268,77,237,39
1868325,49,82,26,203,77,,41
2992242,81,57,233,104,63,39,82
1974213,15,31,,81,29,39,24
1102,38,296,35,192,100,31,127
1092,60,198,37,264,106,230,97
1096,55,57,39,159,336,94,49
1094,11,188,14,215,34,45,85
1100,73,72,23,359,109,30,50
34090,12,69,36,44,41,41,
100716,79,29,16,246,56,209,63
591197,142,53,42,180,34,24,125
1134405,108,86,241,614,444,573,249
1457365,16,1749,16,88,322,321,68
2732249,71,258,39,150,81,18,61
173480,46,165,23,184,109,,69
1379270,32,33,15,78,165,164,35
861299,52,45,34,435,341,22,61
833,131,366,87,511,272,197,157
456827,13,16,,40,,111,41
853,2294716,2289714,3384238,964642,726755,3769587,4947550
2929495,80988,165074,33898,163215,27014,653373,131599
2929493,27558,48356,57195,45530,17531,52100,77639
2929491,26688,60475,11004,68714,57240,194072,59295
2929492,26404,34555,33713,66782,34394,57475,88526
2929489,35665,36526,23721,54788,24505,130472,519750
2929494,27277,41677,48141,81954,40737,77193,68973
2929488,27880,31914,29345,116929,48268,67093,64699
2929490,16699,30342,35059,43365,19513,105599,288801
